12, Anarquismo é uma filosofia política que defende sociedades autogovernadas baseadas em instituições voluntárias 
25, Autismo é um transtorno do neurodesenvolvimento caracterizado por interação social prejudicada comunicação verbal e não verbal prejudicada e comportamento restrito e repetitivo 
39, Albedo  é uma medida de refletância ou brilho óptico  latim albedo brancura de uma superfície 
290, UMA  chamado  plural as as as as ou aes é a primeira letra e a primeira vogal do alfabeto latino básico iso 
303, Alabama  é um estado na região sudeste dos estados unidos 
305, Aquiles na mitologia grega    foi um herói grego da guerra de Tróia e o personagem central e maior guerreiro da iliada de Homero 
307, Abraham Lincoln  12 de fevereiro de 1809 - 15 de abril de 1865 foi um político e advogado americano que serviu como o 16º presidente dos Estados Unidos de março de 1861 até seu assassinato em abril de 1865 
308, Aristóteles    aristotélēs 384–322 aC foi um antigo filósofo e cientista grego nascido na cidade de Stagira Chalkidice na periferia norte da Grécia clássica 
316, Oscar de Melhor Design de Produção o reconhecimento conquista para a direção de arte no cinema 
324, Prêmios da Academia o  agora conhecido oficialmente como oscars é um conjunto de vinte e quatro por mérito artístico e técnico na indústria cinematográfica americana concedido anualmente pela Associação de Artes e Ciências Cinematográficas  ampas para reconhecer a excelência em realizações cinematográficas avaliadas pela os membros votantes 
334, Hora Atômica Internacional  tai do nome francês é um padrão de coordenadas de alta precisão baseado na passagem nocional do próprio no geóide terrestre 
336, Altruísmo ou abnegação é o princípio ou prática de preocupação com o bem-estar dos outros 
339, Ayn Rand  nascida alisa zinovyevna rosenbaum  - 6 de março de 1982 foi uma romancista filósofa dramaturga e roteirista russo-americana 
340, Alan Connes  nascido em 1 de abril de 1947 é um matemático francês atualmente professor no collège de france ihés na universidade estadual de ohio e na universidade vanderbilt 
344, Allan Dwan  3 de abril de 1885 - 28 de dezembro de 1981 foi um pioneiro diretor produtor e roteirista americano nascido no Canadá 
358, Argélia      oficialmente a República Democrática Popular da Argélia é um estado soberano no norte da África na costa mediterrânea 
569, Antropologia é o estudo de vários aspectos dos seres humanos nas sociedades passadas e presentes 
572, Ciências agrícolas <somente incluir>
573, Alquimia é uma tradição filosófica e protocientífica praticada em toda a Europa África e Ásia 
579, Estrangeiro refere-se principalmente a 
580, Astrônomo an é um cientista no campo da astronomia que concentra seus estudos em uma questão ou campo específico fora do âmbito da Terra 
586, ASCII   abreviado de American Standard Code for Information Interchange é um padrão de codificação de caracteres para comunicação eletrônica 
593, Animação é o processo de fazer a ilusão de movimento e a ilusão de mudança por meio da rápida sucessão de imagens sequenciais que diferem minimamente umas das outras 
594, Apolo  grego ático iônico e homérico  apollōn   dórico  apellōn arcadocypriot  apeilōn aeolic  aploun  é uma das mais importantes e complexas das divindades olímpicas na religião clássica grega e romana e na mitologia grega e romana 
595, André Agassi kirk  nascido em 29 de abril de 1970 é um tenista profissional aposentado americano e ex-nº do mundo 
597, línguas austro-asiáticas os  em classificações recentes sinônimo de mon-khmer são uma grande família do sudeste asiático continental também espalhada por toda a Índia Bangladesh Nepal e a fronteira sul da China 
599, Línguas afro-asiáticas  afro-asiático também conhecido como afrasiano e tradicionalmente como hamito-semita  chamito-semita é uma grande família de várias centenas de dialetos relacionados 
